test_round,subj,stim,response,emotion,correct,rt
1,243,img/Rafd090_07_Caucasian_male_surprised_frontal.jpg,7,7,1,1.8631820678710938
1,243,img/Rafd090_09_Caucasian_male_happy_frontal.jpg,5,5,1,1.6022989749908447
1,243,img/Rafd090_09_Caucasian_male_contemptuous_frontal.jpg,2,2,1,1.5538661479949951
1,243,img/Rafd090_14_Caucasian_female_angry_frontal.jpg,1,1,1,1.9074530601501465
1,243,img/Rafd090_04_Caucasian_female_sad_frontal.jpg,6,6,1,1.3426518440246582
1,243,img/Rafd090_10_Caucasian_male_happy_frontal.jpg,5,5,1,1.2585148811340332
1,243,img/Rafd090_10_Caucasian_male_contemptuous_frontal.jpg,2,2,1,1.273406982421875
1,243,img/Rafd090_09_Caucasian_male_fearful_frontal.jpg,4,4,1,1.7426350116729736
1,243,img/Rafd090_04_Caucasian_female_fearful_frontal.jpg,4,4,1,2.4238169193267822
1,243,img/Rafd090_02_Caucasian_female_angry_frontal.jpg,1,1,1,1.5228660106658936
1,243,img/Rafd090_02_Caucasian_female_sad_frontal.jpg,6,6,1,3.0946099758148193
1,243,img/Rafd090_07_Caucasian_male_contemptuous_frontal.jpg,2,2,1,6.874952077865601
1,243,img/Rafd090_07_Caucasian_male_happy_frontal.jpg,5,5,1,1.6979291439056396
1,243,img/Rafd090_12_Caucasian_female_angry_frontal.jpg,1,1,1,1.8222920894622803
1,284,img/Rafd090_08_Caucasian_female_happy_frontal.jpg,5,5,1,4.068727970123291
1,284,img/Rafd090_07_Caucasian_male_angry_frontal.jpg,1,1,1,4.13896918296814
1,284,img/Rafd090_14_Caucasian_female_happy_frontal.jpg,5,5,1,3.594573974609375
1,284,img/Rafd090_04_Caucasian_female_happy_frontal.jpg,2,5,0,9.776555061340332
1,284,img/Rafd090_09_Caucasian_male_sad_frontal.jpg,7,6,0,10.41891098022461
1,284,img/Rafd090_10_Caucasian_male_angry_frontal.jpg,3,1,0,3.3430378437042236
